proteins;G_12;G_14;G_2;G_39;G_40;G_41;G_42;G_50;G_51;G_52;G_6;G_9;G_92;B_395;B_401;B_414;B_421;B_439;B_444;B_449;L_399;L_402;L_403;L_406;L_420;L_431;L_432;L_433;L_434;L_437;L_441
A0A1B0GUI7;7962.180176;10566.50586;3511.363525;6733.663574;7323.731934;5695.518555;8743.236328;;7289.207031;;;;8985.989258;3002.214844;;10278.53809;;7405.213379;;8532.530273;10105.80469;;9946.881836;4068.889648;6525.944336;;;7646.911621;5426.996094;6113.855957;5210.149414
A0A1B0GUS4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1L4H1;6111.037598;4188.682129;15615.68652;45500.33594;7990.219238;11910.24902;4277.672363;80598.57031;7900.782715;3304.670654;;15879.79199;4292.817383;13992.16406;9445.886719;123472.8672;13285.42676;28688.74219;31308.29492;49420.94531;36996.6875;41631.01953;31939.86914;29715.73828;41243.21484;43315.95313;21427.46875;27247.11719;46034.69922;23845.68945;12225.12988
A6NEF3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B9A064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O00187;39551.09766;32024.89844;51165.91406;27293.56055;24280.31055;34547.95313;65740.21875;87811.05469;37029.83594;53978.10938;129852.8203;72703.23438;31149.11719;59544.24219;45281.32813;49522.78516;73652.89844;36763.79688;71391.77344;60277.20703;40464.67578;31612.58594;43842.0625;30450.72266;30645.625;54697.86719;55077.07813;30099.50391;24096.33984;30391.75781;46632.26563
O00299;7670.911621;2190.533203;;2585.280762;3502.619141;2289.707275;2999.965576;;2743.501465;13808.05371;;;1901.950806;9256.962891;;;;;;;;2788.030762;2146.123047;;2786.850586;2556.78833;;1728.385742;1722.935791;3850.61377;2718.993896
O00391;55011.08984;24792.27344;150720.1094;21641.00781;39766.38281;55060.45313;56568.07422;46342.83594;31622.67383;68674.5;95036.25781;105727.5313;32652.14453;51538.69531;307663.5313;44268.17969;127391.7969;35399.80859;70246.03125;43441.89063;38667.39844;30037.20508;46396.55078;69146.90625;31199.51953;31542.52148;63671.41016;34029.32031;44533.77344;49031.44531;38558.5625
O00468;11036.97168;4344.504395;10002.24316;8018.382324;14346.96289;8955.383789;10230.93652;20947.85547;9008.299805;22736.41406;;;;;;;;;;;;;;;;;7014.786133;4700.251953;;;
O00499;;;;1480.485718;;;;14520.54883;;1959.14978;;27611.41602;;;;;;;;;;;;;;;;;;;
O00533;8384.517578;3406.70166;26732.71289;3149.546631;2528.98291;6214.189941;6315.086914;2158.113281;1114.709961;7390.829102;;;2292.956055;1906.381226;;12063.21387;;6263.858398;18471.16406;10753.33496;5234.048828;5224.996094;9051.639648;4370.522949;4937.700195;4415.240723;14746.7334;2491.266113;5211.397461;3141.715088;4303.628906
