Gene ID	normal_1656639	neoplasm_1656641	normal_1656634	normal_1656636	normal_1656635	neoplasm_1656647	neoplasm_1656645	normal_1656638	normal_1656637	neoplasm_1656646	neoplasm_1656642	neoplasm_1656644	neoplasm_1656643	normal_1656640
ENSG00000000003	2454	6387	3284	3215	1980	2082	1641	1882	2188	3100	1759	582	1125	1781
ENSG00000000005	4	0	1	4	0	2	0	2	0	2	0	0	1	0
ENSG00000000419	664	387	739	711	509	317	387	575	542	423	336	307	422	427
ENSG00000000457	576	344	648	652	413	717	423	450	699	393	392	259	445	525
ENSG00000000460	155	128	120	140	75	145	137	66	169	110	125	57	117	69
ENSG00000000938	530	234	514	672	741	101	128	280	1167	125	215	244	61	605
ENSG00000000971	103371	1923	88759	90649	70729	1084	10981	68764	67667	4769	15373	6094	1395	41692
ENSG00000001036	1197	583	1583	1143	906	407	784	965	1110	470	1374	777	726	871
ENSG00000001084	4132	561	5486	4650	4160	808	384	5787	5600	398	1138	542	454	5160
ENSG00000001167	584	737	671	567	520	836	614	631	982	897	464	268	512	658
ENSG00000001460	65	114	132	62	53	109	125	58	52	140	72	82	218	58
ENSG00000001461	218	350	271	176	161	531	408	142	320	375	334	555	396	375
ENSG00000001497	840	1049	846	782	751	862	627	709	1174	1177	472	616	681	874
ENSG00000001561	292	533	499	440	265	550	410	230	214	396	711	288	322	283
ENSG00000001617	254	613	296	355	357	359	170	203	675	277	298	456	337	503
ENSG00000001626	288	29325	2308	193	506	2671	3135	151	400	12943	2474	1723	13056	297
ENSG00000001629	771	1330	1195	961	763	814	2166	771	955	1401	1641	994	1425	861
ENSG00000001630	72	50	86	200	135	124	63	109	0	56	11	13	77	219
ENSG00000001631	299	234	325	267	232	103	258	228	643	159	311	223	116	216
ENSG00000002016	448	366	432	301	283	533	253	331	976	370	274	387	413	421
ENSG00000002079	0	8	5	3	5	0	15	0	13	14	18	108	6	7
ENSG00000002330	276	248	309	390	190	133	278	299	492	242	274	279	348	359
ENSG00000002549	3515	916	4337	6245	2530	1255	858	2677	1685	838	717	1331	679	4496
ENSG00000002586	3475	3417	4545	4050	3763	757	1829	3095	5085	2773	1169	1449	1558	2899
ENSG00000002587	74	646	47	33	35	416	804	13	69	1386	2644	951	566	70
ENSG00000002726	439	6	351	11	260	9	1	3	16	3	292	34	5	426
ENSG00000002745	3	2	17	3	5	0	7	19	20	4	0	15	1	7
ENSG00000002746	4	120	8	6	0	9	4	11	17	157	4	32	21	9
ENSG00000002822	345	242	529	467	378	199	370	372	784	274	330	326	395	604
ENSG00000002834	3906	3677	4066	3331	3155	4657	5020	4299	3424	3913	3947	2572	4657	3519
ENSG00000002919	387	227	363	278	213	220	263	220	402	196	300	275	266	360
ENSG00000002933	23390	193	22540	21976	13297	1690	2471	22015	16320	871	979	1225	2063	13380
ENSG00000003056	899	1069	1093	966	878	2393	877	643	492	1600	896	636	2349	1456
ENSG00000003096	39	77	158	96	98	138	34	145	19	282	306	43	46	188
ENSG00000003137	8	20	21	36	42	495	16	46	20	9	53	86	223	33
ENSG00000003147	96	129	347	444	345	240	1401	131	404	332	1229	836	776	103
ENSG00000003249	194	830	1004	132	119	732	799	105	136	744	949	116	1070	79
ENSG00000003393	1423	634	1919	2460	1198	1075	740	1304	2076	645	1177	594	969	1439
ENSG00000003400	460	819	521	596	605	470	237	473	1128	261	394	919	626	539
ENSG00000003402	5799	9878	6341	5060	4162	3847	2999	4451	7615	5124	5667	9775	6191	4451
ENSG00000003436	7695	294	11666	9042	6608	265	1583	5551	7448	314	7481	1097	161	5796
ENSG00000003509	546	262	570	432	344	162	249	408	835	240	330	253	196	332
ENSG00000003756	3159	1659	3023	2628	3634	1669	1385	2300	5712	1523	1713	2250	1276	2758
ENSG00000003987	54	29	105	59	79	16	69	92	98	8	29	13	9	26
ENSG00000003989	13420	99	27079	25214	16505	1664	685	19883	17571	297	146	506	486	11024
ENSG00000004059	1355	1225	1450	1638	1095	1372	1862	1255	2039	1223	1489	1212	1142	1772
ENSG00000004139	419	407	450	238	178	713	435	386	240	262	290	149	246	638
ENSG00000004142	4335	1264	4586	4749	2926	2139	1673	3746	4329	1401	1985	1106	1685	5345
ENSG00000004399	2828	4553	2296	2556	2770	3121	1112	1679	3690	2278	1950	2176	2920	4002
ENSG00000004455	4220	1558	4255	3590	2491	2745	2382	2975	4032	1761	1099	1085	973	3436
ENSG00000004468	206	60	294	307	405	29	32	180	309	55	26	1164	18	295
ENSG00000004478	1245	1088	1831	1176	913	3802	1407	1238	1375	1694	750	826	2071	2180
ENSG00000004487	1050	812	992	1077	827	633	767	962	1412	844	456	510	721	1080
ENSG00000004534	3637	2732	4337	2528	4277	1186	1961	4121	11485	1681	2146	3276	1196	2713
ENSG00000004660	116	71	86	63	141	157	88	38	205	75	77	136	107	94
ENSG00000004700	293	417	344	362	273	283	359	201	260	382	405	202	361	268
ENSG00000004766	268	421	501	350	322	268	621	249	492	477	453	540	368	348
ENSG00000004776	208	190	163	120	328	140	44	89	603	367	92	247	92	194
ENSG00000004777	447	770	370	297	288	391	374	376	1057	450	297	654	371	326
ENSG00000004779	1282	438	1531	1484	773	342	448	1037	730	389	1065	517	322	1079
ENSG00000004799	5263	669	10429	4755	3951	2358	528	8300	8640	697	674	2555	119	23160
ENSG00000004809	0	1	0	6	5	0	0	0	0	0	1	5	0	0
ENSG00000004838	71	25	48	38	23	46	14	30	88	28	58	11	104	44
ENSG00000004846	0	4	4	0	2	2	1	5	4	3	8	3	6	0
ENSG00000004848	0	1	0	1	0	1	0	0	0	1	1	1	1	2
ENSG00000004864	5332	600	5221	7002	3189	306	879	5128	5605	603	807	673	587	4673
ENSG00000004866	774	253	981	961	704	210	415	947	983	313	518	430	244	852
ENSG00000004897	914	855	1230	1302	1285	475	883	1013	1234	940	865	730	1109	685
ENSG00000004939	1	0	4	81	361	0	0	0	2	0	0	1	0	0
ENSG00000004948	8	3	4	0	6	6	6	0	0	3	0	10	1	4
ENSG00000004961	529	392	557	569	494	354	447	396	443	432	178	193	370	298
ENSG00000004975	455	528	467	458	307	902	525	415	964	617	954	541	834	565
ENSG00000005001	150	1094	63	33	82	731	1009	23	86	1112	588	1471	1070	55
ENSG00000005007	2736	1567	3055	2523	2258	2904	2536	2151	4992	2233	1651	1843	2327	3461
ENSG00000005020	296	624	568	568	430	235	807	177	264	452	1549	541	410	527
ENSG00000005022	3759	5279	5177	5054	2725	3773	2627	3207	3432	3499	2066	1595	3518	5619
ENSG00000005059	112	88	121	112	104	78	188	42	78	142	283	231	330	112
ENSG00000005073	0	0	0	0	0	0	0	0	0	0	0	7	15	0
ENSG00000005075	548	244	518	581	398	235	513	466	843	259	603	396	267	657
ENSG00000005100	716	517	696	672	514	753	523	483	1137	572	557	386	629	590
ENSG00000005102	0	14	6	8	2	4	21	6	12	25	8	41	48	7
ENSG00000005108	167	78	417	307	155	97	744	146	401	149	128	174	134	222
ENSG00000005156	470	484	531	591	453	671	740	641	750	558	601	369	622	591
ENSG00000005175	549	348	623	654	511	200	259	387	450	462	286	234	657	273
ENSG00000005187	1937	6239	3242	2684	1738	728	697	2038	1179	1393	158	415	635	3376
ENSG00000005189	45	722	140	66	41	32	50	36	112	60	28	89	53	48
ENSG00000005194	830	452	640	650	448	576	623	434	948	519	722	521	507	451
ENSG00000005206	1755	1481	1823	1282	1761	1850	1391	1696	5030	1342	2673	2800	1659	2080
ENSG00000005238	371	425	376	241	264	220	422	255	611	478	620	774	332	448
ENSG00000005243	341	210	523	547	323	59	39	444	665	152	168	272	75	530
ENSG00000005249	88	111	229	163	173	41	17	94	113	145	36	123	109	152
ENSG00000005302	801	1089	934	799	901	801	656	658	1319	919	535	867	703	768
ENSG00000005339	2479	2341	2923	3696	3120	4587	1606	3119	3391	2542	1583	1256	2239	4063
ENSG00000005379	765	797	866	570	645	2722	220	1116	2247	1490	1859	315	1800	1125
ENSG00000005381	2	1	8	112	67	0	0	1	33	3	1	2	1	6
ENSG00000005421	13594	43	13694	21409	7019	93	304	13460	9545	23	46	342	51	16816
ENSG00000005436	543	342	952	918	503	149	265	598	1398	274	253	203	368	620
ENSG00000005448	70	139	65	52	79	255	157	42	150	201	281	207	423	93
ENSG00000005469	1087	117	885	2737	465	470	1585	1144	1137	276	751	267	309	1025
ENSG00000005471	11487	63	10665	4125	2801	23	86	10298	4079	39	37	219	18	4672
ENSG00000005483	1602	1728	1813	1642	2008	1661	1895	1676	2525	2241	1661	1232	1835	1660
ENSG00000005486	1430	843	1622	1266	1134	1038	1815	1126	2764	1217	1932	2395	1260	1468
ENSG00000005513	29	22	3	19	9	58	18	5	32	25	22	123	70	14
ENSG00000005700	2255	1400	3381	3388	2114	647	814	2521	2410	726	611	462	1194	2318
ENSG00000005801	864	699	681	491	570	234	666	458	1205	863	364	503	1054	387
ENSG00000005810	1042	740	1481	1586	1173	1017	733	817	1068	758	389	665	465	1784
ENSG00000005812	830	595	1119	976	815	300	388	593	743	402	188	310	304	602
ENSG00000005844	847	267	852	886	902	366	231	908	1942	326	258	241	123	2056
ENSG00000005882	741	349	993	1147	582	490	292	1148	756	296	172	165	195	2296
ENSG00000005884	218	986	385	93	172	1099	4590	119	598	3051	21956	20249	8526	350
ENSG00000005889	708	1405	1720	1027	931	900	852	1190	1296	858	307	326	1054	1335
ENSG00000005893	5428	12271	12356	6269	3996	7384	4827	4905	3707	7923	5957	1595	5245	6218
ENSG00000005961	5	12	10	13	31	28	13	14	44	49	38	34	95	17
ENSG00000005981	63	4	43	56	36	1	26	69	70	12	1	17	2	105
