Gene ID	wild.type.genotype_1	Hunk.knockout_2	Hunk.knockout_3	wild.type.genotype_4	wild.type.genotype_5	Hunk.knockout_6	wild.type.genotype_7	wild.type.genotype_8	Hunk.knockout_9	wild.type.genotype_10	Hunk.knockout_11	Hunk.knockout_12
ENSMUSG00000000001	9.089421293	9.417605443	9.350523001	9.323141287	9.287527623	9.263288916	9.411306494	9.040312709	9.10726317	9.197342772	9.247675233	9.015790947
ENSMUSG00000000003	4.044669346	3.861941681	3.955381131	4.010582572	4.011971808	3.889627842	3.944639773	3.876109975	3.836525366	3.954487976	3.990439599	3.960641493
ENSMUSG00000000028	7.232898365	7.059020218	6.964019333	6.816420079	6.886223195	7.006565269	6.616180268	7.132629835	6.879919168	6.787785619	6.889605408	6.701107819
ENSMUSG00000000031	10.52773678	5.628879257	6.366482588	5.956760786	7.683658092	7.013200166	6.371757381	7.386876573	7.708134793	7.329545941	7.118635447	6.435807543
ENSMUSG00000000037	5.611589157	5.376896182	5.396933278	5.543519296	5.688444168	5.50512574	5.671360457	5.585074872	5.772156784	5.699652213	5.506044617	5.596966645
ENSMUSG00000000049	7.522570849	7.345688195	7.297875949	7.243213006	7.242615262	7.227928814	7.252812853	7.324549746	7.300382756	7.250050846	7.196008741	7.266360099
ENSMUSG00000000056	8.401213602	8.585287942	8.437547703	8.540332719	8.509537467	8.478816658	8.479433864	8.628338354	8.586077825	8.351416063	8.437320056	8.692109987
ENSMUSG00000000058	6.880966774	7.339245974	8.36199478	8.047498078	8.221159962	7.499884065	9.107079477	7.172375007	8.105363845	8.727311591	7.518252941	8.717834839
ENSMUSG00000000078	7.501338215	7.208797295	7.659289693	7.453527057	7.514016753	7.505493097	7.324038347	7.53013427	8.312860114	7.413002441	7.581228136	7.666051086
ENSMUSG00000000085	7.506432939	7.642051099	7.461590235	7.634619656	7.845246652	7.696631032	7.938911729	7.618202615	7.859994018	8.339316427	7.611111546	7.554589684
ENSMUSG00000000088	11.05215515	10.74584026	11.01413479	10.59610065	10.68139353	10.57293669	10.69490762	10.67148313	10.04790091	10.67684886	10.7408568	10.17988981
ENSMUSG00000000093	4.889865791	4.82482589	4.889194186	4.727828762	4.834323916	4.718538221	4.733274218	4.757969695	5.04467241	4.760556313	4.804819888	4.822597343
ENSMUSG00000000094	5.945410364	5.495949767	5.827537339	5.728141682	5.778003226	5.682722671	5.482636702	5.819666157	5.916534546	5.591820408	5.742756279	5.716800187
ENSMUSG00000000103	3.938789809	3.708310733	3.732760526	3.675459036	3.862277263	3.818181783	3.83408172	3.850881339	4.155124631	3.760215118	3.738573947	3.81504264
ENSMUSG00000000120	6.363220073	6.343647161	6.42152081	6.545424618	6.413764233	6.562092517	6.314538315	6.383766988	6.625953804	6.269720636	6.380985795	6.567965388
ENSMUSG00000000125	3.453985996	3.398697666	3.284023321	3.316685779	3.404474369	3.453428214	3.366541524	3.410851646	3.408149596	3.368601537	3.428244065	3.346116205
ENSMUSG00000000126	5.573238837	5.873415723	5.722408719	5.653655054	5.623888313	5.973404223	5.59274733	5.541700864	5.603025392	5.539313526	5.659362727	5.44051851
ENSMUSG00000000127	5.484724558	5.586459316	5.439031433	5.512344738	5.348657338	5.481504325	5.41415001	5.428655046	5.402598001	5.349318307	5.379253398	5.634336339
ENSMUSG00000000131	8.146422055	8.079246449	7.954666641	8.100436	8.100270427	8.036502214	7.632898035	8.051421588	7.900987321	8.027705696	8.054335817	7.9745694
ENSMUSG00000000142	6.468871758	6.497724868	6.564257301	6.626507373	6.573957458	6.58845063	6.547891042	6.682933234	6.657934005	6.546008788	6.633886678	6.848815104
ENSMUSG00000000148	8.647580389	8.207124745	8.43916872	8.490605283	8.358968537	8.371282826	8.475456293	8.379212131	8.387685814	8.162331813	8.427866788	8.472128797
ENSMUSG00000000149	7.884508261	7.863464537	7.659647484	7.91979331	7.85924044	7.882835845	8.031967273	7.834333876	7.759910139	7.808078585	7.895227766	7.916029425
ENSMUSG00000000154	8.303452061	8.554345691	8.352852762	8.33013902	8.252490285	8.336258574	8.331722175	8.234698589	8.610728503	8.27341454	8.267348357	8.390733458
ENSMUSG00000000157	6.261790991	6.019279378	6.312775896	6.129088097	6.161434448	6.383376458	6.193002384	6.056589835	6.183740664	6.141295178	6.163321572	6.237362067
