Gene ID	WKY.adrenals_replicate.2	SHR.adrenals_replicate.1	SHR.adrenals_replicate.2	SHR.adrenals_replicate.3	WKY.adrenals_replicate.1	WKY.adrenals_replicate.3
ENSRNOG00000000007	6.830854056	7.006157178	7.25435222	6.918143132	6.928407977	7.421532513
ENSRNOG00000000021	8.435914584	8.471237693	8.634142946	8.272013692	8.605130972	8.47589157
ENSRNOG00000000041	10.03517252	10.00133879	10.00319049	9.900726469	9.954102584	10.01321458
ENSRNOG00000000047	11.21207537	10.92765542	11.12096428	11.13393722	11.00564729	10.91918942
ENSRNOG00000000048	10.35608793	10.32570834	10.45660935	10.40772974	10.68036957	10.39742791
ENSRNOG00000000053	9.177764483	8.956563427	9.309098633	9.12970415	9.116080349	9.300984093
ENSRNOG00000000055	10.30881553	10.48125637	10.31484659	10.41910283	10.33287111	10.44503672
ENSRNOG00000000060	10.47818491	10.53642843	10.52872726	10.46254806	10.32433884	10.66380753
ENSRNOG00000000068	11.27359981	11.13644449	11.04271174	11.13321993	11.69229693	11.44040581
ENSRNOG00000000096	7.267836071	7.329467751	7.279075382	7.457084735	7.732600281	7.290193533
ENSRNOG00000000105	8.767284898	8.950119279	8.804820336	8.831580578	8.672483317	8.906764227
ENSRNOG00000000112	10.16573944	10.16653439	10.21289357	9.834530532	10.3066819	10.12967254
ENSRNOG00000000122	9.75079535	9.733970131	9.700804311	9.746498786	9.786726929	9.741410085
ENSRNOG00000000130	9.32537782	9.652614863	9.596507823	9.481507817	9.602152136	9.647937363
ENSRNOG00000000137	8.595279507	8.446649623	8.602839651	8.539592852	8.738999987	8.807377609
ENSRNOG00000000145	9.02236335	8.998692573	8.945471598	9.022019494	8.701315619	8.972976522
ENSRNOG00000000156	10.99107283	10.95088266	10.91682585	10.73392145	10.7395092	10.93253624
ENSRNOG00000000158	11.71406362	11.54228751	10.47714836	11.78921337	12.35053057	10.98464153
ENSRNOG00000000161	8.533864005	8.575307527	8.59214724	8.596604169	8.595568075	8.351795107
ENSRNOG00000000164	10.84875957	10.66454324	10.59180177	10.84461303	10.81641255	10.3921617
ENSRNOG00000000165	9.811748339	9.747086983	9.441801893	9.607305678	9.704516827	9.679869186
ENSRNOG00000000167	11.69057874	11.42542634	11.4515948	11.28051907	11.94605435	11.36585584
ENSRNOG00000000168	7.14405982	6.879513366	6.849948642	7.045540914	7.749222243	7.053355066
ENSRNOG00000000170	7.939501648	7.754181014	7.816143439	7.89730493	7.844578069	7.918066961
ENSRNOG00000000177	12.41925556	12.53243777	12.55875351	12.32913524	12.65426846	12.41144588
ENSRNOG00000000185	11.56146826	11.3609543	11.47293241	11.50589279	11.61471637	11.51984866
ENSRNOG00000000186	13.11152795	12.367356	12.50410086	12.71230936	12.85069222	12.94702403
