,OA_002,OA_003,OA_004,Acute_002,Acute_003,Acute_004
Q8N9G6,22570,25820,21880,43360,52550,118100
P04217,31078,33830,58385,62720,56355,33172
P01023,13555,14370,21748,21350,34245,35745
Q5VST6,4601,NA,NA,4529,NA,4788
Q7Z7G0,16650,24430,28545,35965,24085,32035
P16112,33615,74820,28790,176610,61905,93775
P60709,73110,24288,23495,28725,35585,21022
P68032,76880,38898,32780,30355,44222,21210
P63261,45182,16610,20460,28792,26795,21982
P12814,47746,11072,10899,14572,32540,10382
Q76LX8,14790,12800,21920,37070,18580,15260
Q6UY14,17761,15126,30806,32402,28340,17096
Q15848,29240,30190,44940,46710,52500,28790
P30566,32354,53080,99440,153200,90060,131100
P43652,68578,57320,86355,69290,50460,57650
P01019,45802,35202,63185,69862,59738,29605
P02765,30382,24043,36942,53388,43380,31808
P00568,14916,19971,35684,31829,17955,15861
P02768,9811,17300,16720,18562,30670,22930
P04075,24700,18520,21035,27395,34415,18105
P05062,5466,4793,7761,11720,6177,4440
Q9BYJ1,20315,14220,19245,21145,29590,19045
P05186,NA,1798,NA,11060,NA,3337
P02760,32105,36300,84980,39170,37660,32140
P04746,43035,52778,69695,61180,61570,52322
P03950,4683,5510,7436,23005,10179,7998
P16157,4054,2054,8386,22400,6357,6347
Q5VYY1,213400,326600,245000,354800,136300,196000
P15144,13312,17470,16918,20018,13375,18362
Q9H6X2,30175,37965,50000,53580,42700,48445
P02743,186400,179400,410450,487900,309950,193100
P02647,10620,20245,22055,28820,58040,49340
P02652,57350,308300,142700,94375,75690,107400
P06727,83015,147065,219800,103302,106302,60870
P04114,57790,39075,80070,134682,69395,51705
P02654,83072,76098,242150,357775,180500,98530
P02655,9931,7441,47770,99100,41980,14920
P02656,75020,39280,322200,354900,410700,75090
P55056,43418,53430,186950,238075,117675,76555
P05090,33360,38960,113145,133010,92870,61695
P02649,81242,67818,165650,146800,90755,103810
Q13790,23498,11216,37858,70680,33218,26412
P02749,37735,37450,63875,59790,53090,23650
O14791,10105,12756,11584,24250,17400,21035
O95236,120570,607300,138185,38785,36990,64915
O95445,31180,30540,34790,85705,50145,39865
P07306,2889,8120,5215,5351,4128,4519
O75882,44070,57950,106800,75442,65140,100510
P25311,106452,127132,217125,178550,90610,95688
P61769,237175,629000,952500,235025,149375,226075
Q9P281,18380,5984,12170,31520,21480,18130
P06276,20700,16370,27080,45580,25605,22360
P21810,6409,5699,6238,9106,10399,7416
