,B1_99015,B2_99015,B3_99015,B1_99090,B2_99090,B3_99090,B1_99092,B2_99092,B3_99092,B1_999006,B2_999006,B3_999006,B1_999004,B2_999004,B3_999004,B1_999008,B2_999008,B3_999008,B1_999009,B2_999009,B3_999009,B1_999007,B2_999007,B3_999007,B1_999017,B2_999017,B3_999017,B1_999014,B2_999014,B3_999014
A1L4H1,1429.003174,1735.964355,2459.449707,189.5375519,1326.983032,6881.783203,NA,1826.008423,7147.937988,626.3925171,2028.762939,12482.47949,826.6808472,912.2503052,4299.905273,1116.885498,1560.46814,13823.73633,1482.393677,11323.30371,3077.344727,209.9680939,1778.296509,14463.59863,1736.16748,2188.653809,5621.908203,1283.684082,14460.00391,12384.77246
A5A3E0,NA,4066.057373,1339.11084,NA,NA,2288.163574,NA,1413.548706,758.4865112,615.8883057,NA,259.7452087,580.8919678,NA,2425.179443,NA,NA,2711.702637,NA,NA,701.4118042,811.4876709,832.8411865,NA,NA,2036.206177,925.7732544,NA,4452.15625,1697.5896
A6NMZ7,NA,NA,1593.081299,5338.662598,11105.8418,3497.771973,NA,NA,3826.668945,3451.904297,279.9583435,19068.64453,NA,NA,3297.787842,NA,NA,4409.009766,9365.021484,43481.17578,784.4429932,14048.33008,8066.970215,7341.114258,359.7051697,22045.15039,4355.384766,7442.724609,202.9299774,24338.05469
A8TX70,10100.79004,287554,46009.85156,426415.3125,44606.28125,3323.002441,110780.9219,47412.57813,7550.681641,112336.75,65174.05859,50753.76563,373275.7188,34404.46094,3297.546631,225878.5,73907.26563,8720.682617,45578.11328,12418.98242,37525.24609,102893.9141,70407.74219,3742.551758,63974.59766,11961.61621,7544.39209,48807.95313,206145.0313,5170.957031
O00142,493828.1563,20093.45117,4421.137695,3349.324219,7648.42041,1025.695068,7614.480957,7164.499512,4242.293945,2521.79834,6696.369141,14403.91602,8990.624023,NA,2998.833252,NA,NA,6193.32666,3026.03125,NA,1818.18457,3823.009521,6859.018555,2879.625977,553058.875,193427.3125,50132.86719,6990.595703,NA,5084.119629
O00299,86476.8125,2543.719482,7259.019043,83810.51563,8857.959961,14734.25977,53411.61719,376063.2188,25902.92188,42281.95703,15556.03418,21241.25586,48128.24219,202371.4688,60932.15234,32880.49219,94820.57031,79034.70313,389402.4688,227425.4531,44820.98438,254302.6094,104940.7813,83853.64844,39407.86328,41630.05078,45174.08203,139616.4375,133395.625,44951.47266
O00300,28654.26563,2648.835449,259.2722168,129.0445404,5229.571289,5809.272461,974.4573975,3449.257813,7278.100586,114.6475754,2209.594727,NA,434.9953613,2814.959473,1637.060791,1036.975342,4816.091309,7785.618652,19691.77344,54444.09766,3993.049561,2415.059814,7280.293945,10461.44336,22488.95117,19277.63672,7972.625488,2920.134277,774.6715088,2156.516846
O00339,20028.88086,5367.936523,5559.71875,677.1542969,17154.56836,40867.72656,3880.536621,21106.18359,36681.73438,8608.865234,46165.54297,36611.23047,3152.215088,25989.65234,33163.60156,10646.84277,27967.88477,100817.9297,11220.37988,80750.34375,10319.81055,4403.717773,16753.37891,52929.73438,NA,8702.84082,10058.6748,6339.096191,12907.42578,28030.00781
O00391,7970.980469,2066.380859,570.4317017,5057.110352,10215.49707,4479.469238,2323.499023,7761.63623,3511.26416,1401.124023,3056.321289,2197.432617,944.7451172,2858.144043,6620.886719,1387.785034,2913.111816,6587.556641,3593.518799,7675.599609,1118.506592,2430.292236,5174.444336,2760.232422,8382.696289,14441.23535,9588.825195,2469.300781,843.4194336,2326.911133
O00622,2519.200439,187.7425079,NA,NA,NA,NA,8075.888184,8428.508789,7411.243164,NA,NA,89.62265015,1147.396973,1071.490234,1124.79126,NA,NA,157.0894623,67415.72656,115413.0234,8696.485352,NA,NA,NA,43821.33203,99880.04688,59122.97656,NA,NA,NA
