PG.ProteinAccessions	L1_000101	M1_000106	M1_000127	M1_000139	L1_000142	M1_000142	L1_000236	M1_000236	L1_000316	M1_000316	M1_000366	L2_999004	M2_999006	M2_999007	M2_999008	M2_999009	M2_999014	L2_999017	M2_999017	L2_999090	M2_999090	L2_999092	M2_999092	L2_000255	L2_999015	M2_999015
A0A075B6I0	NA	NA	NA	NA	21037.849609375	50076.625	76128.140625	23632.267578125	3053.8818359375	220718.296875	1809.78576660156	NA	754.884887695313	3374.15112304688	6926.3037109375	NA	4137.580078125	8401.5146484375	10834.7431640625	2398.21875	3328.43481445313	3011.11376953125	4920.17138671875	NA	NA	NA
A0A075B6P5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSY6	25032.431640625	7836.03271484375	20089.955078125	7657.93408203125	42150.6015625	102778.9765625	83885.5546875	33663.5703125	NA	55323.1796875	21026.005859375	207461.140625	NA	19834.724609375	9146.021484375	NA	14854.6923828125	5850.341796875	NA	6828.11572265625	15970.109375	11202.9248046875	5226.44873046875	44892.29296875	20629.96875	10102.048828125
A0A0A0MS15	25191.314453125	NA	5692.8916015625	NA	30864.99609375	47276.4296875	35748.8671875	15262.9267578125	458.064025878906	46351.7421875	10953.205078125	115249.1875	NA	5006.322265625	NA	17255.146484375	10354.8681640625	11412.126953125	10737.50390625	NA	4930.576171875	6624.07177734375	7564.7470703125	18721.984375	5697.80517578125	NA
A0A0B4J1V0	24976.361328125	NA	NA	NA	33497.80859375	57829.73828125	49656.61328125	19679.59375	NA	136659.28125	1563.84423828125	57684.0390625	NA	16152.0908203125	NA	NA	NA	15072.44140625	NA	715.466003417969	1975.25061035156	NA	1190.37255859375	NA	NA	NA
A0A0B4J1Y8	NA	NA	NA	NA	24237.177734375	59445.09375	208249.375	63096.1640625	NA	117725.375	15904.3837890625	93473	NA	NA	NA	NA	9177.333984375	NA	NA	NA	NA	NA	NA	6953.38525390625	NA	NA
A0A0B4J1Y9	11998.1689453125	52021.22265625	268058.8125	5756.39697265625	9254.021484375	1524772.875	1045997.875	306219.40625	31989.025390625	2790407	90672.1796875	1452490.5	NA	90495.234375	78461.09375	NA	118492.6640625	225444.953125	320424.875	51088.6328125	100698.296875	12189.677734375	57083.39453125	456303.875	107481.3359375	56552.66796875
A0A0B4J2D5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2D9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH24	8528.93359375	NA	NA	NA	22428.056640625	48033.015625	16027.6396484375	2391.33984375	NA	NA	NA	34880.34375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH25	74356.9140625	9307.408203125	47362.94921875	NA	115972.3671875	247966.796875	91634.78125	36575.79296875	13112.490234375	936614.0625	24722.521484375	895262.75	NA	16606.408203125	8619.4765625	NA	28120.49609375	28152.37890625	16898.3828125	15050.7802734375	12056.6396484375	NA	11594.4970703125	42516.65234375	13381.900390625	9982.7216796875
A0A0C4DH31	7469.5771484375	NA	NA	NA	6360.26904296875	14194.2021484375	9623.89453125	6977.39111328125	NA	168948.359375	NA	35144.13671875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9538.4013671875	NA	NA
A0A0C4DH38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH68	23399.4609375	2273.81030273438	16409.361328125	3631.30249023438	39007.21484375	118133.5703125	37969.4296875	11972.6474609375	2034.7353515625	186291.359375	15644.9111328125	107409.609375	NA	14000.6611328125	4161.14990234375	NA	9413.7099609375	30836.80078125	53502.6796875	3973.47216796875	11684.388671875	12919.2353515625	NA	20976.421875	NA	NA
A0A0C4DH72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YX35	64149.1015625	NA	20968.69921875	NA	43662.3046875	81251.875	62407.26171875	5064.220703125	NA	NA	6457.439453125	76199.84375	NA	11024.3603515625	NA	NA	16088.802734375	33773.43359375	15035.947265625	5612.33251953125	9076.5654296875	NA	NA	22710.2109375	NA	NA
A1L390	2138086	2617298.75	1915616.5	3794312.25	1922785.25	1782640.25	2154576.5	2465304.25	2997273.25	1369582.5	4277178	854190	5719966.5	5082996.5	4468279.5	3783019	2600653.5	2519746.25	3368467.25	3625572.25	3709127.25	4862771	3251839.25	2917735.75	3214094	2610841.5
A1L4H1	6795.32861328125	2811.83325195313	24772.775390625	NA	40725.2109375	39635.58984375	5237.45068359375	6527.68310546875	3796.86645507813	178314.09375	NA	20025.15625	NA	NA	NA	NA	NA	4550.44189453125	NA	NA	NA	NA	NA	NA	NA	1087.78771972656
A6NMB1	160724.671875	18007.98046875	60234.359375	NA	1282295.75	1255938.75	623895.5	2607998.25	95910.0234375	9650909	6385.1162109375	1469864.875	4459.5595703125	28700.46875	10717.7216796875	NA	17307.896484375	19587.48828125	21208.61328125	11003.4609375	21882.16015625	22415.140625	32582.58203125	99667.984375	13879.1923828125	113969.2890625
B9A064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E9PAV3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I3L1E1	1124.296875	531.622741699219	26023.833984375	39191.10546875	53629.59375	21500.83984375	9652.20703125	86420.6796875	NA	NA	108532.9453125	NA	15140.1181640625	164241.203125	NA	NA	1503.67395019531	68725.375	27556.220703125	NA	21272.845703125	10338.546875	24648.234375	9372.9208984375	113289.5234375	478.918029785156
O00148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
