Gene Symbol;CMVnull_1;CMVnull_2;CMVnull_3;CMVnull_4;CMVnull_5;GATA6_1;GATA6_2;GATA6_3;GATA6_4;GATA6_5;GATA6_6;GATA6_7
A2M ;7.350165;7.413868;7.876205;7.524834;7.272544;4.218606;4.801661;5.144708;4.558961;4.597915;7.410357;5.097503
CCL11 ;9.92783;9.965056;9.984176;9.867479;9.890387;8.097561;7.671036;7.62319;7.92707;7.467208;9.866213;7.81964
OTTHUMG00000159132  // RP11-439C8.2 ;5.707907;6.197639;6.160958;6.653611;5.621474;3.431194;3.571255;3.73156;3.561282;3.840931;6.047229;2.974682
SCG5 ;6.335466;6.286358;6.501434;6.096981;6.039599;4.291215;4.228063;4.252912;4.428911;3.90548;6.646928;3.858167
RGCC ;7.651417;7.974253;8.167337;8.107533;7.638754;6.182365;5.930237;5.988239;5.905136;5.908927;8.151765;5.785033
IL24 ;6.722512;6.97126;6.948421;6.822715;6.190328;4.65364;4.384614;4.437819;4.871135;4.864921;6.918807;4.185778
LRRC38 ;7.918242;8.153629;8.441415;8.147654;7.775375;6.352046;6.273439;6.373203;6.243657;6.297873;8.317447;6.408742
NEFM ;6.290362;6.658559;6.283807;6.424506;6.762339;4.539657;5.120385;4.738317;4.388574;4.505351;6.470562;4.563952
PALMD ;7.65912;7.40296;7.30828;7.032179;7.094578;5.753834;5.072894;5.690115;5.535288;5.328099;7.201908;5.271591
LMCD1 ;8.158501;7.986348;8.066925;8.063077;8.20978;6.637567;6.307106;6.632245;6.42485;6.277448;8.021769;6.57304
IL11 ;7.780673;8.342242;8.175828;8.170204;7.778304;6.013834;6.585209;6.316117;6.444913;6.239445;8.473611;6.366463
PLCL1 ;4.730707;4.588028;4.964919;4.987759;4.126154;2.572996;3.222263;2.845663;2.478923;2.761162;4.491314;2.817806
ADAM12 ;9.354442;9.568617;9.524378;9.444939;9.267765;8.031183;7.88683;8.052299;7.677231;8.027339;9.590876;7.955809
LOC541472 ;7.588981;7.489252;7.392354;7.683009;7.406159;6.000694;6.125278;5.479454;6.244508;5.735644;7.747746;5.583858
KRTAP7-1 ;8.322989;8.65056;8.802859;8.709292;8.026139;6.671679;6.884161;6.930941;6.853802;6.872755;8.643527;7.016484
LOXL4 ;9.113435;9.013665;8.997258;8.814687;9.258597;7.601371;7.514302;7.049775;7.523511;7.575506;8.894803;7.397926
LOC100292922 ;7.958553;8.406005;8.564623;8.480204;7.956735;6.623814;6.769685;6.894721;6.695319;6.755637;8.595421;6.316523
IBSP ;4.994671;4.759397;4.24894;5.159765;4.940636;2.899357;2.883851;3.514409;3.40149;2.800112;4.865581;2.281536
OTTHUMG00000165130  // RP11-94A24.1 ;6.2939;6.165547;6.33469;6.262617;6.059131;5.069956;4.900832;4.352818;4.651196;4.356495;6.16519;4.420689
KRTAP2-3 ;5.260223;5.437324;5.382402;5.694938;4.840597;3.99691;3.783177;3.318384;3.744956;3.755337;5.390995;3.596162
SPANXN4 ;4.93008;4.653122;5.268034;4.964962;4.517539;3.401512;2.833219;2.795673;3.564309;2.532382;4.408714;2.908794
TREM1 ;9.403791;9.620007;9.684272;9.701895;9.30114;8.203434;8.27798;8.188773;8.078158;8.181808;9.609986;7.983742
MRGPRX3 ;4.247741;4.612268;4.871715;4.174108;4.670139;3.011462;2.875294;2.798055;3.26241;3.211078;4.89914;2.771842
LINC00862 ;4.925666;4.97311;5.03719;5.49495;4.737944;3.279703;3.070231;4.02679;3.188067;3.483772;5.02951;3.458241
TNFRSF10D ;11.08159;11.34606;11.33638;11.26932;11.12555;9.644537;9.615797;10.03417;9.768898;9.937946;11.29496;10.08926
