Proteinname	B_395	B_401	B_414	B_421	B_439	B_444	B_449	G_12	G_14	G_2	G_39	G_40	G_41	G_42	G_50	G_51	G_52	G_6	G_9	G_92	L_399	L_402	L_403	L_406	L_420	L_431	L_432	L_433	L_434	L_437	L_441
A0A075B6K5	 	 	2258.235107	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
A0A0A0MT36	10534.06119	 	5536.948356	13976.94238	20411.15479	20508.49506	23.11203957	4270.768873	9.249592304	3272.808304	3600.406704	4667.166992	5902.665527	8959.097168	7955.632455	767.4196572	5181.757149	 	8447.349609	7904.029281	496.7056351	248.5046039	24401.64893	3783.375	3745.860241	6543.850267	20574.41846	6654.486106	9696.212551	8474.980225	2723.759033
A1L4H1	185204.4861	 	112465.9683	 	111171.7891	194754.2026	14449.5415	100964.9639	3154.083984	1681.247437	59987.6037	121948.2148	50516.64063	247895.9688	13161.53709	353.4560623	39075.12854	 	457589.6875	145427.085	11020.31982	4832.702515	120582.3633	89503.33984	113775.9326	69570.42456	103678.168	77609.7179	108872.0369	85394.89844	54651.27344
A1X283	877.9208374	7557.453125	3199.186768	1712.654846	592.9425354	1961.686386	303.351511	5126.773949	121.6314068	5160.352142	2675.335895	2049.124023	2080.438904	1740.431458	13997.11948	18.86626148	968.4948978	14154.73819	53783.95117	3679.972261	20.06016493	19.95896626	8254.372559	1650.631104	855.466526	503.3242044	9972.550385	2677.459635	2246.420373	1100.334564	794.8182373
A2A3L6	106532.4735	6786899	7608.397278	5216052.875	76870.11523	3104.628174	3596.94165	4091.211365	1416.849197	12846.3808	3264.003662	32052.7666	42434.40723	7962.822998	6094.061157	4037.500473	8505.406372	5339.977051	61415.72461	426.218399	6009.498779	3288.594849	5378.400269	47458.78125	2442.099609	3824.0268	59369.875	3009.996094	6313.557739	95398.58203	251673
A6NFD8	81263.14995	 	 	 	32321.33105	38564.93877	4284.081787	16282.64844	10454.84888	11771.81479	5521.961426	20729.49707	69174.33203	72642.17969	23167.2876	6391.918636	17853.87793	 	 	20845.97974	6729.134277	1733.733704	 	16165.69336	18653.73669	26687.45764	20984.40625	15365.08911	10186.92606	20244.56982	17032.41211
B5MCY1	1804985.057	52332064	254695.9268	19370103.45	519397.4219	1528012.063	37237.62207	448841.3027	47946.63477	1894771.031	250290.709	897306.4375	1251866.438	1692617.875	906556.9043	44498.84668	252382.9077	15708454.34	23911987	299566.0703	54359.45508	17065.33057	994664.7188	721289.4688	212129.1162	473647.6699	856635.2969	544738.8984	476715.5151	1050931.219	1219367.25
B5ME19	463363.8584	4662724	94.239151	413002.2939	277732.3164	347655.3228	519.7562485	397035.6875	 	443921.6678	165.60672	91039.75	71929.87891	422360.2813	295974.9441	93.89783478	52101.65169	 	943930.5313	305435.6262	50.48858261	37.61611557	454954.2813	63040.87891	282038.0084	90175.47433	 	412866.9375	979132.125	76088.3125	68387.75
O00187	67183.74089	 	27734.3125	 	52140.61914	65082.5293	8209.648193	25688.3457	14088.20508	55855.14844	36694.86914	15536.44629	50799.81836	95761.16406	94861.4668	32102.18896	68430.12695	257664.291	107299.2461	18598.07666	10567.16992	40504.98926	40418.30078	59188.92188	46978.27832	20257.62793	98607.44531	34188.48438	25248.58301	51525.89258	71804.37109
O00233	24917.75371	363821.125	6241.884324	86444.75604	4809.703613	22619.14624	317.8196354	8300.683815	56.19476509	11703.06326	8483.999853	7645.506592	15543.76514	18377.42432	8261.623398	369.1302128	4928.771441	42055.04688	37303.49121	5735.401901	111.6733665	86.06332493	11816.39746	4977.071289	2307.048233	3823.76328	6566.691162	2070.902737	2413.161659	8210.405029	3654.502808
